"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20220101","2022","52","2022","699","IND","India","X","Export","0","W00","World","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2382606","false","8","kg","2382606","false","2382606","false","0","false",,"138768566.789","138768566.789","0","false","true",
"C","A","20220101","2022","52","2022","699","IND","India","X","Export","50","BGD","Bangladesh","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8308","false","8","kg","8308","false","8308","false","0","false",,"197029.97","197029.97","0","false","true",
"C","A","20220101","2022","52","2022","699","IND","India","X","Export","64","BTN","Bhutan","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32","false","8","kg","32","false","32","false","0","false",,"272.533","272.533","0","false","true",
"C","A","20220101","2022","52","2022","699","IND","India","X","Export","104","MMR","Myanmar","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2372749","false","8","kg","2372749","false","2372749","false","0","false",,"138518548.957","138518548.957","0","false","true",
"C","A","20220101","2022","52","2022","699","IND","India","X","Export","144","LKA","Sri Lanka","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","103","false","8","kg","103","false","103","false","0","false",,"13.716","13.716","0","false","true",
"C","A","20220101","2022","52","2022","699","IND","India","X","Export","156","CHN","China","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30","false","8","kg","30","false","30","false","0","false",,"226.831","226.831","0","false","true",
"C","A","20220101","2022","52","2022","699","IND","India","X","Export","231","ETH","Ethiopia","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","86","false","8","kg","86","false","86","false","0","false",,"727.836","727.836","0","false","true",
"C","A","20220101","2022","52","2022","699","IND","India","X","Export","404","KEN","Kenya","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","232","false","8","kg","232","false","232","false","0","false",,"440.913","440.913","0","false","true",
"C","A","20220101","2022","52","2022","699","IND","India","X","Export","442","LUX","Luxembourg","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false",,"76.34","76.34","0","false","true",
"C","A","20220101","2022","52","2022","699","IND","India","X","Export","458","MYS","Malaysia","0","W00","World","H6","HS","true","0501","Human hair; unworked, whether or not washed or scoured; waste of human hair","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","41","false","8","kg","41","false","41","false","0","false",,"167.795","167.795","0","false","true",
